gene_symbol,ukb_code,uniprot_id,protein_name,chr_hg19,start_bp_hg19,end_bp_hg19,olink_panel
CPVL,664,Q9H3G5,Probable serine carboxypeptidase CPVL,7,29034847,29235067,Oncology
CPXM1,665,Q96SM3,Probable carboxypeptidase X1,20,2774715,2781283,Oncology
CPXM2,666,Q8N436,Inactive carboxypeptidase-like protein X2,10,125465723,125699783,Cardiometabolic II
CR1,667,P17927,Complement receptor type 1,1,207669492,207813992,Inflammation II
CR2,668,P20023,Complement receptor type 2,1,207627575,207663240,Cardiometabolic
CRACR2A,669,Q9BSW2,EF-hand calcium-binding domain-containing protein 4B,12,3715799,3873985,Oncology
CREG1,673,O75629,Protein CREG1,1,167498914,167523004,Oncology
CRELD1,674,Q96HD1,Protein disulfide isomerase CRELD1,3,9975506,9987097,Inflammation II
CRELD2,675,Q6UXH1,Protein disulfide isomerase CRELD2,22,50311815,50321188,Inflammation
CRH,676,P06850,Corticoliberin,8,67088620,67090960,Oncology
CRHBP,677,P24387,Corticotropin-releasing factor-binding protein,5,76248538,76276983,Inflammation
CRIM1,679,Q9NZV1,Cysteine-rich motor neuron 1 protein,2,36583069,36778278,Inflammation
CRISP2,681,P16562,Cysteine-rich secretory protein 2,6,49660073,49681274,Oncology
CRISP3,682,P54108,Cysteine-rich secretory protein 3,6,49695097,49712150,Inflammation II
CRNN,685,Q9UBG3,Cornulin,1,152381719,152386739,Oncology
CRTAC1,686,Q9NQ79,Cartilage acidic protein 1,10,99624757,99790585,Cardiometabolic
CRTAM,687,O95727,Cytotoxic and regulatory T-cell molecule,11,122709208,122743347,Neurology
CRYBB1,690,P53674,Beta-crystallin B1,22,26995242,27014052,Cardiometabolic II
CRYGD,692,P07320,Gamma-crystallin D,2,208986331,208989225,Neurology II
CRYM,693,Q14894,Ketimine reductase mu-crystallin,16,21250195,21314404,Neurology II
CSF1,696,P09603,Macrophage colony-stimulating factor 1,1,110452864,110473614,Inflammation
CSF1R,697,P07333,Macrophage colony-stimulating factor 1 receptor,5,149432854,149492935,Inflammation II
CSF2,698,P04141,Granulocyte-macrophage colony-stimulating factor,5,131409483,131411859,Cardiometabolic II
CSF2RB,700,P32927,Cytokine receptor common subunit beta,22,37309670,37336491,Inflammation II
CSF3R,702,Q99062,Granulocyte colony-stimulating factor receptor,1,36931644,36948879,Inflammation II
CSPG4,706,Q6UVK1,Chondroitin sulfate proteoglycan 4,15,75966663,76005189,Cardiometabolic II
CST1,709,P01037,Cystatin-SN,20,23728190,23731905,Inflammation II
CST3,710,P01034,Cystatin-C,20,23608534,23619110,Cardiometabolic
CST5,711,P28325,Cystatin-D,20,23856572,23860387,Neurology
CST6,712,Q15828,Cystatin-M,11,65779312,65780976,Cardiometabolic
CST7,713,O76096,Cystatin-F,20,24929866,24940564,Inflammation
CSTB,714,P04080,Cystatin-B,21,45192393,45196326,Cardiometabolic
CTBS,716,Q01459,Di-N-acetylchitobiase,1,85015289,85040163,Inflammation II
CTHRC1,718,Q96CG8,Collagen triple helix repeat-containing protein 1,8,104383743,104395225,Cardiometabolic II
CTRB1,721,P17538,Chymotrypsinogen B,16,75252898,75258822,Neurology
CTRC,722,Q99895,Chymotrypsin-C,1,15764935,15775737,Inflammation
CTSB,724,P07858,Cathepsin B,8,11700033,11726957,Cardiometabolic
CTSC,725,P53634,Dipeptidyl peptidase 1,11,88026760,88070955,Inflammation
CTSD,726,P07339,Cathepsin D,11,1773982,1785222,Cardiometabolic
CTSE,727,P14091,Cathepsin E,1,206317459,206332104,Inflammation II
CTSF,728,Q9UBX1,Cathepsin F,11,66330934,66336312,Oncology
CTSH,729,P09668,Pro-cathepsin H,15,79213400,79241916,Cardiometabolic
CTSL,730,P07711,Cathepsin L1,9,90340434,90346308,Cardiometabolic
CTSO,731,P43234,Cathepsin O,4,156845270,156875069,Inflammation
CTSS,732,P25774,Cathepsin S,1,150702672,150738433,Neurology
CTSV,733,O60911,Cathepsin L2,9,99794940,99801925,Oncology
CTSZ,734,Q9UBR2,Cathepsin Z,20,57570240,57582302,Cardiometabolic
CX3CL1,737,P78423,Fractalkine,16,57406370,57418960,Neurology
CXCL1,739,P09341,Growth-regulated alpha protein,4,74735110,74736959,Inflammation
CXCL11,741,O14625,C-X-C motif chemokine 11,4,76954835,76962568,Neurology
CXCL12,742,P48061,Stromal cell-derived factor 1,10,44793038,44881941,Inflammation
CXCL16,745,Q9H2A7,C-X-C motif chemokine 16,17,4636821,4643217,Cardiometabolic
CXCL5,748,P42830,C-X-C motif chemokine 5,4,74861359,74864496,Cardiometabolic
CXCL6,749,P80162,C-X-C motif chemokine 6,4,74702214,74714781,Inflammation
CYB5R2,753,Q6BCY4,NADH-cytochrome b5 reductase 2,11,7686331,7698453,Oncology II
CYTL1,756,Q9NRR1,Cytokine-like protein 1,4,5016313,5021199,Cardiometabolic II
DAPK2,761,Q9UIK4,Death-associated protein kinase 2,15,64199235,64364232,Inflammation II
DBH,764,P09172,Dopamine beta-hydroxylase,9,136501482,136524466,Inflammation II
DBI,765,P07108,Acyl-CoA-binding protein,2,120124497,120130126,Neurology
DCBLD2,768,Q96PD2,"Discoidin, CUB and LCCL domain-containing protein 2",3,98514785,98620533,Oncology
DCC,769,P43146,Netrin receptor DCC,18,49866542,51057784,Neurology II
DDAH1,782,O94760,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",1,85784164,86043933,Oncology
DDC,783,P20711,Aromatic-L-amino-acid decarboxylase,7,50526134,50633154,Cardiometabolic
DDR1,786,Q08345,Epithelial discoidin domain-containing receptor 1,6,30844198,30867933,Neurology
DDT,787,P30046,D-dopachrome decarboxylase,22,24313554,24322660,Cardiometabolic II
DDX58,793,O95786,Antiviral innate immune response receptor RIG-I,9,32455300,32526322,Oncology
DEFA1_DEFA1B,795,P59665,Neutrophil defensin 1,8,6835171,6875778,Cardiometabolic
DEFB104A_DEFB104B,797,Q8WTQ1,Beta-defensin 104,8,7327830,7698764,Neurology II
DHRS4L2,809,Q6PKH6,Dehydrogenase/reductase SDR family member 4-like 2,14,24439148,24475617,Neurology II
DKK3,814,Q9UBP4,Dickkopf-related protein 3,11,11984653,12031316,Cardiometabolic
DKK4,815,Q9UBT3,Dickkopf-related protein 4,8,42231586,42234750,Neurology
DKKL1,816,Q9UK85,Dickkopf-like protein 1,19,49865040,49878373,Oncology
DLK1,819,P80370,Protein delta homolog 1,14,101192042,101201539,Cardiometabolic
DLL1,820,O00548,Delta-like protein 1,6,170591294,170599561,Oncology
DNAJA4,826,Q8WW22,DnaJ homolog subfamily A member 4,15,78556428,78574538,Neurology II
DNAJB6,830,O75190,DnaJ homolog subfamily B member 6,7,157128075,157210133,Inflammation II
DNER,835,Q8NFT8,Delta and Notch-like epidermal growth factor-related receptor,2,230222345,230579274,Inflammation
DNM1,837,Q05193,Dynamin-1,9,130965658,131017527,Oncology II
DNPH1,841,O43598,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,6,43193367,43197222,Inflammation
DPEP1,846,P16444,Dipeptidase 1,16,89679716,89704839,Neurology
DPEP2,847,Q9H4A9,Dipeptidase 2,16,68021297,68034489,Oncology
DPP10,848,Q8N608,Inactive dipeptidyl peptidase 10,2,115199876,116603328,Inflammation
DPP4,849,P27487,Dipeptidyl peptidase 4,2,162848751,162931052,Cardiometabolic
DPP6,850,P42658,Dipeptidyl aminopeptidase-like protein 6,7,153584182,154685995,Oncology
DPP7,851,Q9UHL4,Dipeptidyl peptidase 2,9,140004994,140009629,Cardiometabolic
DPT,852,Q07507,Dermatopontin,1,168664697,168698502,Cardiometabolic
DRAXIN,854,Q8NBI3,Draxin,1,11751786,11785914,Neurology
DSC2,856,Q02487,Desmocollin-2,18,28645940,28682378,Neurology
DSCAM,857,O60469,Down syndrome cell adhesion molecule,21,41382926,42219065,Neurology II
DSG2,858,Q14126,Desmoglein-2,18,29078006,29128971,Neurology
DSG3,859,P32926,Desmoglein-3,18,29027758,29058665,Oncology
DTD1,861,Q8TEA8,D-aminoacyl-tRNA deacylase 1,20,18568537,18744561,Inflammation II
DUSP13,867,Q6B8I1,Dual specificity protein phosphatase 13 isoform A,10,76854192,76868979,Oncology II
DXO,871,O77932,Decapping and exoribonuclease protein,6,31937587,31940069,Neurology II
ECHDC3,878,Q96DC8,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",10,11784365,11806069,Cardiometabolic II
ECHS1,879,P30084,"Enoyl-CoA hydratase, mitochondrial",10,135175984,135187193,Cardiometabolic II
ECI2,880,O75521,Enoyl-CoA delta isomerase 2,6,4115923,4135831,Cardiometabolic II
ECM1,881,Q16610,Extracellular matrix protein 1,1,150480538,150486265,Inflammation II
EDAR,884,Q9UNE0,Tumor necrosis factor receptor superfamily member EDAR,2,109510927,109605828,Inflammation
EDDM3B,885,P56851,Epididymal secretory protein E3-beta,14,21236586,21239107,Oncology II
EDN1,889,P05305,Endothelin-1,6,12290596,12297427,Cardiometabolic II
EFCAB2,893,Q5VUJ9,Dynein regulatory complex protein 8,1,245133007,245290466,Oncology II
EFEMP1,894,Q12805,EGF-containing fibulin-like extracellular matrix protein 1,2,56093102,56151274,Cardiometabolic
EFHD1,895,Q9BUP0,EF-hand domain-containing protein D1,2,233470767,233547491,Neurology II
EFNA1,896,P20827,Ephrin-A1,1,155099936,155107333,Neurology
EGFL7,900,Q9UHF1,Epidermal growth factor-like protein 7,9,139553308,139567130,Oncology
EGFLAM,901,Q63HQ2,Pikachurin,5,38258511,38465123,Oncology II
EGFR,902,P00533,Epidermal growth factor receptor,7,55086714,55324313,Cardiometabolic
EHBP1,904,Q8NDI1,EH domain-binding protein 1,2,62900986,63273622,Cardiometabolic II
EHD3,905,Q9NZN3,EH domain-containing protein 3,2,31456880,31492313,Cardiometabolic II
EIF2AK2,907,P19525,"Interferon-induced, double-stranded RNA-activated protein kinase",2,37326353,37384208,Oncology II
EIF2AK3,908,Q9NZJ5,Eukaryotic translation initiation factor 2-alpha kinase 3,2,88856259,88927094,Cardiometabolic II
ENDOU,923,P21128,Poly(U)-specific endoribonuclease,12,48103517,48119350,Oncology II
ENG,924,P17813,Endoglin,9,130577291,130617035,Cardiometabolic
ENPP2,931,Q13822,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,8,120569326,120685693,Cardiometabolic
ENPP5,932,Q9UJA9,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,6,46126924,46138708,Inflammation
ENPP6,933,Q6UWR7,Glycerophosphocholine cholinephosphodiesterase ENPP6,4,185009859,185142383,Cardiometabolic II
ENPP7,934,Q6UWV6,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,17,77704681,77716021,Inflammation
ENTPD2,936,Q9Y5L3,Ectonucleoside triphosphate diphosphohydrolase 2,9,139942550,139948497,Oncology
ENTPD5,937,O75356,Ectonucleoside triphosphate diphosphohydrolase 5,14,74424713,74486102,Cardiometabolic
ENTPD6,938,O75354,Ectonucleoside triphosphate diphosphohydrolase 6,20,25176329,25207365,Cardiometabolic
ENTR1,939,Q96C92,Endosome-associated-trafficking regulator 1,9,139296377,139305061,Cardiometabolic II
EPHA1,944,P21709,Ephrin type-A receptor 1,7,143087382,143105985,Inflammation
EPHA4,947,P54764,Ephrin type-A receptor 4,2,222282747,222438922,Inflammation II
EPHB4,948,P54760,Ephrin type-B receptor 4,7,100400187,100425121,Cardiometabolic
EPHB6,949,O15197,Ephrin type-B receptor 6,7,142552792,142568847,Neurology
EPPK1,953,P58107,Epiplakin,8,144939497,144952635,Cardiometabolic II
EPS8L2,954,Q9H6S3,Epidermal growth factor receptor kinase substrate 8-like protein 2,11,694438,727727,Oncology
ERBB2,955,P04626,Receptor tyrosine-protein kinase erbB-2,17,37844167,37886679,Oncology
ERBB3,956,P21860,Receptor tyrosine-protein kinase erbB-3,12,56473641,56497289,Inflammation
ERBB4,957,Q15303,Receptor tyrosine-protein kinase erbB-4,2,212240446,213403565,Oncology
ESAM,968,Q96AP7,Endothelial cell-selective adhesion molecule,11,124622026,124632186,Cardiometabolic
ESM1,969,Q9NQ30,Endothelial cell-specific molecule 1,5,54273692,54318499,Inflammation
ESYT2,972,A0FGR8,Extended synaptotagmin-2,7,158523686,158622944,Neurology II
EXTL1,977,Q92935,Exostosin-like 1,1,26346375,26362955,Cardiometabolic II
F10,979,P00742,Coagulation factor X,13,113777128,113803843,Inflammation II
F11,980,P03951,Coagulation factor XI,4,187187099,187210835,Inflammation II
F12,982,P00748,Coagulation factor XII,5,176829141,176836577,Inflammation II
F13B,983,P05160,Coagulation factor XIII B chain,1,197008321,197036397,Inflammation II
F2R,985,P25116,Proteinase-activated receptor 1,5,76011868,76031606,Inflammation
F3,986,P13726,Tissue factor,1,94994781,95007356,Oncology
F7,987,P08709,Coagulation factor VII,13,113760105,113774995,Cardiometabolic
FABP1,989,P07148,"Fatty acid-binding protein, liver",2,88422510,88427635,Inflammation
FABP2,990,P12104,"Fatty acid-binding protein, intestinal",4,120238405,120243545,Cardiometabolic
FAM13A,997,O94988,Protein FAM13A,4,89647106,90032549,Oncology II
FAM171B,999,Q6P995,Protein FAM171B,2,187558698,187630685,Oncology II
FAM20A,1001,Q96MK3,Pseudokinase FAM20A,17,66531254,66597530,Cardiometabolic II
FAM3B,1002,P58499,Protein FAM3B,21,42676139,42729358,Oncology
FAM3D,1004,Q96BQ1,Protein FAM3D,3,58619673,58652575,Oncology II
FAS,1007,P25445,Tumor necrosis factor receptor superfamily member 6,10,90750414,90775542,Cardiometabolic
FBLN2,1009,P98095,Fibulin-2,3,13573824,13679922,Cardiometabolic II
FBN2,1010,P35556,Fibrillin-2,5,127593601,127994878,Neurology II
FBP1,1011,P09467,"Fructose-1,6-bisphosphatase 1",9,97365415,97402531,Cardiometabolic
FCAMR,1012,Q8WWV6,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,1,207131310,207143970,Cardiometabolic II
FCAR,1013,P24071,Immunoglobulin alpha Fc receptor,19,55385704,55401838,Inflammation
FCER1A,1014,P12319,High affinity immunoglobulin epsilon receptor subunit alpha,1,159259504,159278014,Neurology II
FCER2,1015,P06734,Low affinity immunoglobulin epsilon Fc receptor,19,7753644,7767032,Neurology
FCGR2A,1016,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,1,161475220,161493803,Cardiometabolic
FCGR2B,1017,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,1,161551101,161648444,Oncology
FCGR3B,1018,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,1,161592986,161601753,Cardiometabolic
FCN1,1019,O00602,Ficolin-1,9,137801431,137809809,Inflammation II
FCN2,1020,Q15485,Ficolin-2,9,137772654,137779924,Cardiometabolic
FCRL1,1021,Q96LA6,Fc receptor-like protein 1,1,157764193,157789895,Cardiometabolic
FCRL2,1022,Q96LA5,Fc receptor-like protein 2,1,157715523,157746922,Inflammation
FCRL3,1023,Q96P31,Fc receptor-like protein 3,1,157644111,157670647,Inflammation
FCRL5,1024,Q96RD9,Fc receptor-like protein 5,1,157483167,157522310,Neurology
FCRL6,1025,Q6DN72,Fc receptor-like protein 6,1,159770301,159786041,Inflammation
FCRLB,1026,Q6BAA4,Fc receptor-like B,1,161691353,161697933,Oncology
FETUB,1031,Q9UGM5,Fetuin-B,3,186353758,186370930,Cardiometabolic
FGF2,1037,P09038,Fibroblast growth factor 2,4,123747863,123819391,Inflammation
FGF5,1042,P12034,Fibroblast growth factor 5,4,81187753,81257834,Inflammation
FGFBP1,1046,Q14512,Fibroblast growth factor-binding protein 1,4,15937192,15940363,Oncology
FGFBP2,1047,Q9BYJ0,Fibroblast growth factor-binding protein 2,4,15961866,15970932,Cardiometabolic II
FGFBP3,1048,Q8TAT2,Fibroblast growth factor-binding protein 3,10,93666346,93669240,Neurology II
FGFR2,1049,P21802,Fibroblast growth factor receptor 2,10,123237848,123357972,Oncology
FGFR4,1050,P22455,Fibroblast growth factor receptor 4,5,176513887,176525145,Inflammation II
FGL1,1051,Q08830,Fibrinogen-like protein 1,8,17721889,17767874,Inflammation II
FIS1,1056,Q9Y3D6,Mitochondrial fission 1 protein,7,100882739,100895597,Inflammation
FKBP1B,1058,P68106,Peptidyl-prolyl cis-trans isomerase FKBP1B,2,24272571,24286551,Inflammation
FKBP5,1060,Q13451,Peptidyl-prolyl cis-trans isomerase FKBP5,6,35541362,35696360,Neurology
FLRT2,1064,O43155,Leucine-rich repeat transmembrane protein FLRT2,14,85996488,86095034,Neurology
FLT4,1068,P35916,Vascular endothelial growth factor receptor 3,5,180028506,180076624,Oncology
FN1,1071,P02751,Fibronectin,2,216225163,216300895,Inflammation II
FNDC1,1072,Q4ZHG4,Fibronectin type III domain-containing protein 1,6,159590429,159693141,Neurology II
FOLR3,1077,P41439,Folate receptor gamma,11,71825915,71850936,Oncology
FRZB,1085,Q92765,Secreted frizzled-related protein 3,2,183698002,183731890,Neurology
FSHB,1086,P01225,Follitropin subunit beta,11,30252563,30256808,Cardiometabolic II
FST,1087,P19883,Follistatin,5,52776239,52782964,Inflammation
FSTL1,1088,Q12841,Follistatin-related protein 1,3,120111140,120170100,Cardiometabolic II
FUCA1,1091,P04066,Tissue alpha-L-fucosidase,1,24171567,24194784,Cardiometabolic
FUOM,1092,A2VDF0,Fucose mutarotase,10,135168658,135171529,Inflammation II
FURIN,1093,P09958,Furin,15,91411822,91426688,Oncology
FUT3_FUT5,1096,P21217_Q11128,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3_4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5,19,5842899,5903798,Neurology
FUT8,1097,Q9BYC5,"Alpha-(1,6)-fucosyltransferase",14,65877310,66210839,Neurology
FXYD5,1099,Q96DB9,FXYD domain-containing ion transport regulator 5,19,35645633,35660786,Inflammation
GALNT10,1112,Q86SR1,Polypeptide N-acetylgalactosaminyltransferase 10,5,153570290,153800544,Oncology
GALNT2,1113,Q10471,Polypeptide N-acetylgalactosaminyltransferase 2,1,230193536,230417870,Oncology
GALNT3,1114,Q14435,Polypeptide N-acetylgalactosaminyltransferase 3,2,166604101,166651192,Inflammation
GALNT5,1115,Q7Z7M9,Polypeptide N-acetylgalactosaminyltransferase 5,2,158114110,158170723,Cardiometabolic II
GAS6,1121,Q14393,Growth arrest-specific protein 6,13,114523522,114567046,Cardiometabolic
GASK1A,1122,Q9UFP1,Golgi-associated kinase 1A,3,43020759,43101703,Cardiometabolic II
GBP1,1127,P32455,Guanylate-binding protein 1,1,89518002,89531043,Neurology II
GBP4,1129,Q96PP9,Guanylate-binding protein 4,1,89646831,89664615,Neurology
GC,1131,P02774,Vitamin D-binding protein,4,72607410,72669758,Inflammation II
GCNT1,1136,Q02742,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",9,79034752,79122332,Oncology
GDF15,1137,Q99988,Growth/differentiation factor 15,19,18485541,18499986,Cardiometabolic
GDNF,1139,P39905,Glial cell line-derived neurotrophic factor,5,37812779,37839788,Neurology
GFRA1,1144,P56159,GDNF family receptor alpha-1,10,117816444,118032979,Oncology
GFRA2,1145,O00451,GDNF family receptor alpha-2,8,21547915,21669869,Oncology
GFRAL,1147,Q6UXV0,GDNF family receptor alpha-like,6,55192267,55267291,Neurology II
GGACT,1149,Q9BVM4,Gamma-glutamylaminecyclotransferase,13,101183810,101241782,Cardiometabolic II
GGH,1151,Q92820,Gamma-glutamyl hydrolase,8,63927638,63951730,Cardiometabolic
GGT1,1152,P19440,Glutathione hydrolase 1 proenzyme,22,24979718,25024972,Neurology
GGT5,1153,P36269,Glutathione hydrolase 5 proenzyme,22,24615622,24641110,Neurology
GHR,1156,P10912,Growth hormone receptor,5,42423879,42721979,Inflammation II
GHRL,1158,Q9UBU3,Appetite-regulating hormone,3,10327359,10334631,Cardiometabolic
GIMAP7,1161,Q8NHV1,GTPase IMAP family member 7,7,150211918,150218161,Inflammation II
GIMAP8,1162,Q8ND71,GTPase IMAP family member 8,7,150147718,150176480,Oncology II
GIPC2,1164,Q8TF65,PDZ domain-containing protein GIPC2,1,78445226,78604133,Neurology II
GIPC3,1165,Q8TF64,PDZ domain-containing protein GIPC3,19,3585551,3593539,Oncology II
GLB1,1171,P16278,Beta-galactosidase,3,33038100,33138722,Neurology
GLO1,1174,Q04760,Lactoylglutathione lyase,6,38643701,38670917,Cardiometabolic
GLRX,1177,P35754,Glutaredoxin-1,5,95087023,95158709,Cardiometabolic
GLRX5,1178,Q86SX6,"Glutaredoxin-related protein 5, mitochondrial",14,95999840,96011061,Inflammation II
GM2A,1181,P17900,Ganglioside GM2 activator,5,150591711,150650001,Cardiometabolic II
GMPR,1183,P36959,GMP reductase 1,6,16238811,16295780,Inflammation
GNLY,1188,P22749,Granulysin,2,85912298,85925977,Neurology
GNPDA2,1190,Q8TDQ7,Glucosamine-6-phosphate isomerase 2,4,44684217,44728612,Inflammation II
GP2,1198,P55259,Pancreatic secretory granule membrane major glycoprotein GP2,16,20320894,20339130,Cardiometabolic
GP6,1200,Q9HCN6,Platelet glycoprotein VI,19,55525073,55549632,Neurology
GPA33,1201,Q99795,Cell surface A33 antigen,1,167022073,167059868,Oncology
GPC1,1202,P35052,Glypican-1,2,241375088,241407493,Oncology
GPC5,1203,P78333,Glypican-5,13,92050929,93519490,Neurology
GPHA2,1205,Q96T91,Glycoprotein hormone alpha-2,11,64701943,64703360,Oncology II
GPIHBP1,1207,Q8IV16,Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1,8,144295068,144299044,Oncology II
GPNMB,1209,Q14956,Transmembrane glycoprotein NMB,7,23275586,23314727,Cardiometabolic
GPR15L,1212,Q6UWK7,Protein GPR15L,10,85933494,85945050,Oncology II
GPR37,1213,O15354,Prosaposin receptor GPR37,7,124386051,124405681,Cardiometabolic
GRHPR,1216,Q9UBQ7,Glyoxylate reductase/hydroxypyruvate reductase,9,37422663,37436987,Cardiometabolic II
GRIK2,1217,Q13002,"Glutamate receptor ionotropic, kainate 2",6,101846664,102517958,Neurology II
GRK5,1219,P34947,G protein-coupled receptor kinase 5,10,120967101,121215131,Cardiometabolic
GRN,1220,P28799,Progranulin,17,42422614,42430470,Neurology
GRP,1221,P07492,Gastrin-releasing peptide,18,56887400,56898006,Cardiometabolic II
GSN,1225,P06396,Gelsolin,9,123970072,124095121,Inflammation II
GSTA1,1227,P08263,Glutathione S-transferase A1,6,52656462,52668708,Cardiometabolic
GSTA3,1228,Q16772,Glutathione S-transferase A3,6,52761437,52774483,Oncology
GSTM4,1229,Q03013,Glutathione S-transferase Mu 4,1,110198703,110208118,Cardiometabolic II
GSTP1,1230,P09211,Glutathione S-transferase P,11,67351066,67354131,Neurology
GSTT2B,1231,P0CG30,Glutathione S-transferase theta-2B,22,24299601,24303373,Neurology II
GUCA2A,1234,Q02747,Guanylin,1,42628362,42630389,Neurology
GUSB,1237,P08236,Beta-glucuronidase,7,65425671,65447301,Cardiometabolic
GZMB,1240,P10144,Granzyme B,14,25100160,25103473,Inflammation
GZMH,1241,P20718,Granzyme H,14,25075686,25078905,Cardiometabolic
HAVCR1,1247,Q96D42,Hepatitis A virus cellular receptor 1,5,156456424,156486130,Oncology
HAVCR2,1248,Q8TDQ0,Hepatitis A virus cellular receptor 2,5,156512843,156569880,Neurology
HBQ1,1250,P09105,Hemoglobin subunit theta-1,16,230452,231180,Oncology
HBZ,1251,P02008,Hemoglobin subunit zeta,16,202686,204502,Cardiometabolic II
HCG22,1252,E2RYF7,Protein PBMUCL2,6,31021227,31027667,Cardiometabolic II
HDDC2,1256,Q7Z4H3,5'-deoxynucleotidase HDDC2,6,125541108,125623282,Oncology II
HDGF,1257,P51858,Hepatoma-derived growth factor,1,156711899,156736717,Oncology
HEG1,1260,Q9ULI3,Protein HEG homolog 1,3,124684554,124774802,Inflammation II
HGFAC,1265,Q04756,Hepatocyte growth factor activator,4,3443614,3451211,Inflammation II
HLA-A,1273,P04439,"HLA class I histocompatibility antigen, A alpha chain",6,29909037,29913661,Neurology II
HLA-E,1275,P13747,"HLA class I histocompatibility antigen, alpha chain E",6,30457244,30461982,Inflammation
HMBS,1276,P08397,Porphobilinogen deaminase,11,118955576,118964259,Oncology
HMCN2,1277,Q8NDA2,Hemicentin-2,9,133046882,133309510,Inflammation II
HNMT,1284,P50135,Histamine N-methyltransferase,2,138721590,138773930,Neurology
HPCAL1,1287,P37235,Hippocalcin-like protein 1,2,10443015,10567743,Inflammation
HPGDS,1288,O60760,Hematopoietic prostaglandin D synthase,4,95219686,95264027,Oncology
HRG,1292,P04196,Histidine-rich glycoprotein,3,186378005,186396029,Inflammation II
HS3ST3B1,1294,Q9Y662,Heparan sulfate glucosamine 3-O-sulfotransferase 3B1,17,14204400,14252721,Oncology
HS6ST1,1295,O60243,Heparan-sulfate 6-O-sulfotransferase 1,2,128994290,129076151,Oncology
HSBP1,1297,O75506,Heat shock factor-binding protein 1,16,83841448,83853342,Cardiometabolic II
HSD17B14,1299,Q9BPX1,17-beta-hydroxysteroid dehydrogenase 14,19,49316274,49339935,Neurology II
HSDL2,1301,Q6YN16,Hydroxysteroid dehydrogenase-like protein 2,9,115142217,115234690,Cardiometabolic II
HSPB1,1305,P04792,Heat shock protein beta-1,7,75931861,75933612,Cardiometabolic
HSPG2,1307,P98160,Basement membrane-specific heparan sulfate proteoglycan core protein,1,22148738,22263790,Cardiometabolic
HYAL1,1311,Q12794,Hyaluronidase-1,3,50337320,50349812,Cardiometabolic
HYOU1,1312,Q9Y4L1,Hypoxia up-regulated protein 1,11,118914900,118927913,Cardiometabolic
ICAM1,1314,P05362,Intercellular adhesion molecule 1,19,10381511,10397291,Cardiometabolic
ICAM3,1316,P32942,Intercellular adhesion molecule 3,19,10444452,10450499,Cardiometabolic
ICAM5,1318,Q9UMF0,Intercellular adhesion molecule 5,19,10400657,10407454,Cardiometabolic
ICOSLG,1319,O75144,ICOS ligand,21,45642874,45660849,Oncology
IDI2,1321,Q9BXS1,Isopentenyl-diphosphate delta-isomerase 2,10,1064847,1071799,Neurology
IDO1,1322,P14902,"Indoleamine 2,3-dioxygenase 1",8,39759794,39785963,Cardiometabolic II
IDUA,1324,P35475,Alpha-L-iduronidase,4,980785,998316,Oncology
IFI30,1325,P13284,Gamma-interferon-inducible lysosomal thiol reductase,19,18283972,18288927,Oncology II
IFNAR1,1328,P17181,Interferon alpha/beta receptor 1,21,34696734,34732168,Oncology II
IFNGR1,1330,P15260,Interferon gamma receptor 1,6,137518621,137540586,Inflammation
IFNGR2,1331,P38484,Interferon gamma receptor 2,21,34775202,34851655,Neurology
IFNLR1,1334,Q8IU57,Interferon lambda receptor 1,1,24480647,24514449,Inflammation
IGDCC4,1339,Q8TDY8,Immunoglobulin superfamily DCC subclass member 4,15,65673802,65715410,Cardiometabolic II
IGF2R,1342,P11717,Cation-independent mannose-6-phosphate receptor,6,160390131,160534539,Neurology
IGFBP3,1345,P17936,Insulin-like growth factor-binding protein 3,7,45951949,45961473,Cardiometabolic
IGFBP7,1348,Q16270,Insulin-like growth factor-binding protein 7,4,57896939,57976551,Cardiometabolic
IGFBPL1,1349,Q8WX77,Insulin-like growth factor-binding protein-like 1,9,38408991,38424444,Cardiometabolic
IGSF21,1354,Q96ID5,Immunoglobulin superfamily member 21,1,18434240,18704977,Cardiometabolic II
IGSF9,1357,Q9P2J2,Protein turtle homolog A,1,159896829,159915386,Cardiometabolic II
IL10RB,1362,Q08334,Interleukin-10 receptor subunit beta,21,34638663,34669539,Inflammation
IL12A_IL12B,1364,P29459_P29460,Interleukin-12,5,158741791,158757895,Oncology
IL12B,1365,P29460,Interleukin-12 subunit beta,5,158741791,158757895,Inflammation
IL12RB1,1366,P42701,Interleukin-12 receptor subunit beta-1,19,18169805,18209754,Inflammation
