gene_names,protein_name.x,chr.x,start.x,end.x,pg_adsp,pg_ukb_igap,pg_ukb_eadb,pg_ukb_proxy,adsp_size.x,ukb_size.x,pg_X1_adsp,pg_X2_adsp,pnl_X2_adsp,pg_X1_ukb,pg_X2_ukb,pnl_X2_ukb,stage1_fstat,stage1_X2_fstat,num_snps,adsp_size.y,ukb_size.y,gene_ind,uniprot_id,protein_name.y,chr.y,start.y,end.y
CASP3,Caspase-3,4,185548850,185570663,0.145917708134812,0.382066073971691,0.32465780036256,0.353946917433618,10454,312214,0.269931982790591,0.236645495423004,0.196893271151805,0.126605816048543,0.309506624465498,0.913064601795896,47.8590586568923,4.738737678803174,6,10454,312214,361,P42574,Caspase-3,4,185548850,185570663
CASP7,Caspase-7,10,115438942,115490662,0.831686715298355,0.674464871816694,0.938162597452388,0.467855986705854,10454,317485,0.986257597671905,0.448932500870741,0.20570602887845,0.569781290424944,0.537930977890663,0.33826377220316,22.4524415931551,4.691984960769175,14,10454,317485,363,P55210,Caspase-7,10,115438942,115490662
CASP8,Caspase-8,2,202098166,202152434,0.0624289790096228,0.00218258183407727,0.355897026231272,0.22060036496562,10454,312471,0.263336689505873,0.0051834800411751,0.0023255101063202,0.0973165181160556,0.252083624721373,0.933257332480947,267.861666225677,16.379998727816925,4,10454,312471,364,Q14790,Caspase-8,2,202098166,202152434
CASP9,Caspase-9,1,15817327,15853029,0.589484365747153,0.952809231955878,0.620885281602333,0.981740164915814,10454,318326,0.890787439409049,0.943928196359315,0.756005824377156,0.828337034157248,0.45251640259453,0.214790129631601,17.0760512889565,7.760851766896613,9,10454,318326,365,P55211,Caspase-9,1,15817327,15853029
CAT,Catalase,11,34460472,34493609,0.0108267740858888,0.719930457915902,0.290160441622945,0.182545329689675,10454,317840,0.518909913100108,0.135555504171401,0.0584602358136326,0.679462821510767,0.504145612626331,0.273512134957711,48.7406243388018,3.8340765436851054,14,10454,317840,367,P04040,Catalase,11,34460472,34493609
CBLN4,Cerebellin-4,20,54572496,54580528,0.32063770995438,0.414027686311962,0.696890546102788,0.0554545610409657,10454,312360,0.520709598530738,0.526950542651302,0.351291130068888,0.68232688108197,0.918063360976302,0.953095907194625,66.7145543192303,7.365366340585066,10,10454,312360,370,Q9NTU7,Cerebellin-4,20,54572496,54580528
CBS,Cystathionine beta-synthase,21,44473301,44497053,0.23661442018256,0.305157379925947,0.812764107160445,0.854300404033169,10454,318239,0.163719605608196,0.0877799122080797,0.0871487210603106,0.252741597250135,0.433214351164108,0.54576365378442,24.8092729081358,9.615651662275424,7,10454,318239,371,P35520,Cystathionine beta-synthase,21,44473301,44497053
CC2D1A,Coiled-coil and C2 domain-containing protein 1A,19,14017014,14041692,0.612486578108218,0.869203113556547,0.14083656272843,0.915473931199502,10454,312918,0.900502204111987,0.164645702565428,0.0580542818595675,0.0090222588384621,0.0062007295891343,0.0672962531362273,18.8874947524573,4.870053904700979,6,10454,312918,373,Q6P1N0,Coiled-coil and C2 domain-containing protein 1A,19,14017014,14041692
CCDC50,Coiled-coil domain-containing protein 50,3,191046866,191116459,0.568841050631203,0.427078004906332,0.124643640280857,0.308350280146928,10454,317463,0.679708925157936,0.0923748126296501,0.0321002191571681,0.173815180064448,0.319825580989789,0.511873912984551,15.3583101534715,2.890349588643616,8,10454,317463,377,Q8IVM0,Coiled-coil domain-containing protein 50,3,191046866,191116459
CCDC80,Coiled-coil domain-containing protein 80,3,112323407,112368377,0.243460989785996,0.972255723627033,0.915851414026044,0.92220451282017,10454,312630,0.881818626840669,0.767458725485646,0.476346122897466,0.848279814702301,0.566685435741842,0.29441995353294,33.0958523383377,2.820137588745869,4,10454,312630,378,Q76M96,Coiled-coil domain-containing protein 80,3,112323407,112368377
CCL11,Eotaxin,17,32612687,32615353,0.537475238529311,0.974097808074641,0.742280382939784,0.161593987459667,10454,312284,0.231577444600277,0.387203306131557,0.494596865259529,0.990475437836829,0.981028778195765,0.845113385739886,31.3672752652552,4.965330648606711,12,10454,312284,380,P51671,Eotaxin,17,32612687,32615353
CCL13,C-C motif chemokine 13,17,32683471,32685629,0.474730117161988,0.229020767309556,0.00797386750067103,0.0943737710598618,10454,312349,0.221760944401936,0.123376846499906,0.100851458227046,0.205481504455252,0.152799320100935,0.142173123594895,145.543403972889,21.404686318277452,15,10454,312349,381,Q99616,C-C motif chemokine 13,17,32683471,32685629
CCL14,C-C motif chemokine 14,17,34310327,34329100,0.0664010004664424,0.214214171245106,0.499568710329179,0.24928393085038,10454,312730,0.238777155394728,0.38122283072593,0.462025214124785,0.131121196969634,0.069104642903142,0.0799909479239235,367.789817169645,104.03154240334402,13,10454,312730,382,Q16627,C-C motif chemokine 14,17,34310327,34329100
CCL15,C-C motif chemokine 15,17,34323476,34329084,0.338341113835074,0.445460965680887,0.196285331035096,0.0493771141226982,10454,312214,0.902153867462376,0.60931254246526,0.32326583135568,0.699825759869802,0.576756823127764,0.32920701956339,2164.72498269663,1216.0198904859965,14,10454,312214,383,Q16663,C-C motif chemokine 15,17,34323476,34329084
CCL16,C-C motif chemokine 16,17,34303529,34308532,0.947343821482665,0.410794812824608,0.789227427834093,0.873043938765331,10454,312214,0.439038925905609,0.472855067759999,0.343016348972869,0.177846236152945,0.149880579758982,0.159358565942763,1267.4417952146,449.54728183442694,13,10454,312214,384,O15467,C-C motif chemokine 16,17,34303529,34308532
CCL17,C-C motif chemokine 17,16,57438679,57449974,0.276029871624858,0.992214669066943,0.379488376248155,0.934209236475185,10454,312725,0.230022832614205,0.449198576071887,0.689228771289031,0.915821948165175,0.916675846504755,0.686563884810244,120.662806638248,24.15226783157298,11,10454,312725,385,Q92583,C-C motif chemokine 17,16,57438679,57449974
CCL18,C-C motif chemokine 18,17,34391640,34399392,0.466444905938361,0.122439828858551,0.702270560129416,0.232358998863781,10454,313113,0.957392072623701,0.664272031162843,0.366577387653623,0.0381163715653297,0.0061872331216214,0.0153948375441331,174.824882746974,10.929446061221423,13,10454,313113,386,P55774,C-C motif chemokine 18,17,34391640,34399392
CCL2,C-C motif chemokine 2,17,32582304,32584222,0.580049507378344,0.4255590746858,0.231536332141709,0.812265261221425,10454,312975,0.470664994591476,0.584522059124196,0.456888833482789,0.0773575388277679,0.0812230546001946,0.167904760239903,11.7959262448109,2.9956608708211263,13,10454,312975,388,P13500,C-C motif chemokine 2,17,32582304,32584222
CCL20,C-C motif chemokine 20,2,228678558,228682272,0.825966658902837,0.369483900920125,0.277214011466843,0.981549387028819,10454,312284,0.244745872324572,0.497098157832624,0.832096767651651,0.895408081932382,0.955487371383493,0.785904160743716,10.9691780152573,2.1097608487054185,12,10454,312284,389,P78556,C-C motif chemokine 20,2,228678558,228682272
CCL21,C-C motif chemokine 21,9,34709002,34710121,0.911553271038396,0.127173370343241,0.192294601941962,0.241134653592406,10454,312493,0.210561684097248,0.422950964200161,0.695207636262957,0.527523432346428,0.574038443163688,0.399126157985944,47.7862970252757,3.5995448196441084,5,10454,312493,390,O00585,C-C motif chemokine 21,9,34709002,34710121
CCL22,C-C motif chemokine 22,16,57392684,57400102,0.156486811009345,0.782249166406764,0.687313261059919,0.500824786530564,10454,313001,0.953952809634731,0.686656283231986,0.386960159012695,0.647592627513311,0.596055847309345,0.363463065249502,44.134120833756,2.7248621206913652,15,10454,313001,391,O00626,C-C motif chemokine 22,16,57392684,57400102
CCL23,C-C motif chemokine 23,17,34340096,34345005,0.167004739112986,0.58052189468728,0.774680002303382,0.3388984830906,10454,312493,0.441455080359151,0.0731123144266653,0.0312563753691671,0.519095941396679,0.0366352143852149,0.0127909761058003,319.272614081636,54.28552225289116,14,10454,312493,392,P55773,C-C motif chemokine 23,17,34340096,34345005
CCL24,C-C motif chemokine 24,7,75440983,75452674,0.891926730157707,0.866234960682492,0.932029270274525,0.83784920539146,10454,312549,0.568092131531186,0.804879032039673,0.742143315960411,0.0517870797365382,0.143828793769273,0.757131786350789,4011.74350700746,510.48257706329923,20,10454,312549,393,O00175,C-C motif chemokine 24,7,75440983,75452674
CCL25,C-C motif chemokine 25,19,8117651,8127534,0.286087087885593,0.159994799255687,0.359165686438676,0.574362764398876,10454,312284,0.171929862495298,0.278551409203835,0.406053410760936,0.495845751987505,0.0865023269067271,0.0352846887235256,822.860162854694,35.51492358681366,21,10454,312284,394,O15444,C-C motif chemokine 25,19,8117651,8127534
CCL26,C-C motif chemokine 26,7,75398851,75419214,0.670680579343438,0.947028660461156,0.7954164671868,0.247818642465565,10454,312713,0.140653214148633,0.29347314130381,0.595895809925535,0.145359065293569,0.106517175521906,0.124593306851809,22.878756041647,2.9090203057693946,18,10454,312713,395,Q9Y258,C-C motif chemokine 26,7,75398851,75419214
CCL27,C-C motif chemokine 27,9,34661877,34664045,0.878124965384606,0.700512908077879,0.457725279052063,0.573192056174439,10454,312630,0.873367418194863,0.732225223812559,0.43937884752799,0.258240187836263,0.229905919129882,0.197333112541672,111.662455783868,8.525281687745146,10,10454,312630,396,Q9Y4X3,C-C motif chemokine 27,9,34661877,34664045
CCL28,C-C motif chemokine 28,5,43376747,43412493,0.557327430685948,0.595664552763578,0.0555138411283568,0.104960595886192,10454,312835,0.0927159292972964,100,,0.210701795778232,,,11.2859226564946,<rpy2.rinterface_lib.sexp.NULLType object at 0x7f7e120b6840> [RTYPES.NILSXP],3,10454,312835,397,Q9NRJ3,C-C motif chemokine 28,5,43376747,43412493
CCL3,C-C motif chemokine 3,17,34415602,34417515,0.130384381193276,0.47861270843774,0.971272921317947,0.868956121291741,10454,312713,0.46540266703952,0.407387910883477,0.261070067518381,0.466042573255371,0.0398660180369998,0.0150286180478439,179.707908966099,2.4519653515301667,11,10454,312713,398,P10147,C-C motif chemokine 3,17,34415602,34417515
CCL4,C-C motif chemokine 4,17,34430983,34433014,0.999001159361304,0.851718904718224,0.911898878181447,0.716425418610737,10454,312609,0.89644035485426,0.405724174363022,0.181275343819847,0.592791807214991,0.639105232438971,0.435026475435621,51.9275739379036,4.796806986117009,9,10454,312609,399,P13236,C-C motif chemokine 4,17,34430983,34433014
CCL5,C-C motif chemokine 5,17,34198495,34207797,0.316911575830418,0.137646506103329,0.590437124822435,0.0796913028309264,10454,312497,0.411778751533237,0.465437645116287,0.354892423239737,0.739887088957232,0.314922304119381,0.13795439985585,184.209985138996,2.28082616137787,3,10454,312497,400,P13501,C-C motif chemokine 5,17,34198495,34207797
CCL7,C-C motif chemokine 7,17,32597240,32599261,0.944590826938492,0.904920405610568,0.649427279599549,0.961413002593989,10454,312713,0.83443703567062,0.972189151679545,0.910187613110514,0.585952760768837,0.0843100186036282,0.0310572951180931,32.4436140137485,3.9039072502510552,12,10454,312713,401,P80098,C-C motif chemokine 7,17,32597240,32599261
CCL8,C-C motif chemokine 8,17,32646055,32648421,0.509366768356424,0.886416229849128,0.237698826321118,0.539426744775196,10454,312413,0.883789750421398,0.941124086939165,0.751839138234637,0.159904771912161,0.173072758368905,0.215668639354867,1182.51860938273,366.1904913028929,17,10454,312413,402,P80075,C-C motif chemokine 8,17,32646055,32648421
CCN1,CCN family member 1,1,86046444,86049645,0.179128148240166,0.295308940143224,0.878326399997514,0.960963323158964,10454,312886,0.948130190973847,0.976456403367248,0.834943332419618,0.858581062338176,0.971143480759305,0.869928691185397,39.3116389726174,8.956864571831902,9,10454,312886,403,O00622,CCN family member 1,1,86046444,86049645
CCN2,CCN family member 2,6,132269316,132272513,0.771853547229061,0.671139174177189,0.932475313969529,0.698576865104811,10454,312678,0.663460997778331,0.084366679930789,0.029203102573186,0.406041404615666,0.706356441371644,0.94413652072065,184.682016161602,10.167810828547855,11,10454,312678,404,P29279,CCN family member 2,6,132269316,132272513
CCN3,CCN family member 3,8,120428546,120436593,0.111283694808625,0.950166929575361,0.409769551912165,0.793631641745667,10454,312263,0.486454075910163,0.765972587645546,0.825025963546154,0.26457204330301,0.0605049839906923,0.0366763134203691,674.333143690198,6.484449796753349,3,10454,312263,405,P48745,CCN family member 3,8,120428546,120436593
CCN4,CCN family member 4,8,134203282,134242587,0.0196766512771527,0.301762498682002,0.24763712737296,0.278776911080554,10454,312360,0.970662958154221,0.932306114931826,0.709447905165301,0.0798979922099449,0.201162719597071,0.707971564814959,398.527820346217,95.8478554286949,26,10454,312360,406,O95388,CCN family member 4,8,134203282,134242587
CCN5,CCN family member 5,20,43343485,43357150,0.904692116605577,0.187595782728749,0.939405465525786,0.229150362691871,10454,312640,0.999980346812658,0.624542822363938,0.331911452251135,0.694818151368806,0.912826941564608,0.86594033584194,59.232995118995,5.451843426642819,19,10454,312640,407,O76076,CCN family member 5,20,43343485,43357150
CCS,Copper chaperone for superoxide dismutase,11,66360292,66373490,0.123208335668937,0.0168104385560444,0.0851549839550972,0.0792028343920798,10454,312918,0.672182399318665,0.821072215151015,0.642701175699847,0.387773305415033,0.687561482314596,0.954216039869074,926.345302061975,7.57203148174747,5,10454,312918,410,O14618,Copper chaperone for superoxide dismutase,11,66360292,66373490
CD101,Immunoglobulin superfamily member 2,1,117544382,117579167,0.301090133569812,0.957378050483771,0.0987029592363486,0.794956234149101,10454,317541,0.764307450026935,0.879859230053411,0.68361442967622,0.519081277164899,0.622431634918772,0.465547464302886,425.07184181159,64.47639855956479,20,10454,317541,412,Q93033,Immunoglobulin superfamily member 2,1,117544382,117579167
CD109,CD109 antigen,6,74405508,74538040,0.459465809610872,0.467168893731489,0.0210552844846167,0.0571599189589528,10454,312640,0.0816048746029213,0.218491062962122,0.922274445800981,0.939613054379136,0.876721432635975,0.611917199369745,1864.73956575646,50.39102619414024,14,10454,312640,413,Q6YHK3,CD109 antigen,6,74405508,74538040
CD14,Monocyte differentiation antigen CD14,5,140011313,140013286,0.117483411757376,0.0825876481538792,0.474821013084502,0.390853818701049,10454,313365,0.0916449882913778,0.204173586467799,0.564219349886854,0.707015550962398,0.141759213036127,0.0523055531955098,306.667308470196,4.978758644858292,6,10454,313365,414,P08571,Monocyte differentiation antigen CD14,5,140011313,140013286
CD163,Scavenger receptor cysteine-rich type 1 protein M130,12,7623409,7656489,0.393765884586688,0.461807271375718,0.932706590899249,0.473808081110806,10454,312497,0.355326954055975,0.0925692638028054,0.0481395200853046,0.567833768626415,0.0931053660652582,0.0354842542672114,56.200624009182,3.4744684534696164,5,10454,312497,416,Q86VB7,Scavenger receptor cysteine-rich type 1 protein M130,12,7623409,7656489
CD164,Sialomucin core protein 24,6,109687717,109703762,0.444956587626636,0.161638826736939,0.228523759714517,0.405144739581828,10454,312640,0.397221928297515,100,,0.410554929544803,,,74.3040823189629,<rpy2.rinterface_lib.sexp.NULLType object at 0x7fd9b766b800> [RTYPES.NILSXP],6,10454,312640,417,Q04900,Sialomucin core protein 24,6,109687717,109703762
CD164L2,CD164 sialomucin-like 2 protein,1,27705666,27709870,0.956023519490687,0.923092997654465,0.988755214167518,0.962146067700632,10454,318237,0.884421358036929,0.94625716954729,0.765008886884263,0.371226575315649,0.656703062907165,0.838588781012854,1777.33634716449,49.15046647364362,2,10454,318237,418,Q6UWJ8,CD164 sialomucin-like 2 protein,1,27705666,27709870
CD177,CD177 antigen,19,43857811,43867480,0.277987380279612,0.711873461325668,0.343059826807208,0.155053118443927,10454,312688,0.543054080996251,0.226148678061182,0.106654253310764,0.72992159591049,0.88779035051288,0.730278929062438,618.227973587427,445.1533202363102,10,10454,312688,419,Q8N6Q3,CD177 antigen,19,43857811,43867480
CD1C,T-cell surface glycoprotein CD1c,1,158259576,158263420,0.66343769645001,0.0690501676314638,0.00505951558738571,0.0073688580029756,10454,312549,0.0915147482958674,0.0741080740214795,0.124724993266601,0.306101016504208,0.567634880055319,0.770460951972376,48.0965939331238,5.425180845554186,4,10454,312549,420,P29017,T-cell surface glycoprotein CD1c,1,158259576,158263420
CD200,OX-2 membrane glycoprotein,3,112051194,112081659,0.609353560102442,0.180767135389797,0.127755808408576,0.0640228005292606,10454,312713,0.27201995868539,0.477636508953131,0.602445744864145,0.46318623229668,0.721525726666273,0.734976716551759,94.0314620594899,4.675711655434779,14,10454,312713,422,P41217,OX-2 membrane glycoprotein,3,112051194,112081659
CD200R1,Cell surface glycoprotein CD200 receptor 1,3,112640056,112693969,0.682066977550948,0.0593798299736238,0.657144874967662,0.173235338448776,10454,312837,0.756566175692318,0.0437895724353669,0.0130646591414588,0.260689903512754,0.120949452326767,0.0853652091424247,855.996367776678,298.83651048294206,13,10454,312837,423,Q8TD46,Cell surface glycoprotein CD200 receptor 1,3,112640056,112693969
CD207,C-type lectin domain family 4 member K,2,71057347,71062952,0.592330065854568,0.223837785222234,0.327867853199989,0.996019312727416,10454,313436,0.899976158099658,0.978698694641017,0.868850967985635,0.529646978914413,0.149423520938318,0.0649255826117286,267.568006902911,23.86388200877623,18,10454,313436,424,Q9UJ71,C-type lectin domain family 4 member K,2,71057347,71062952
CD209,CD209 antigen,19,7804879,7812464,0.361598026382677,0.919125039866248,0.69044517912698,0.499546718177091,10454,312571,0.114825340506859,0.258285828904902,0.638305690429927,0.0589152958450724,0.113939888232003,0.378209556260513,117.162813250013,11.578308224053876,34,10454,312571,425,Q9NNX6,CD209 antigen,19,7804879,7812464
CD22,B-cell receptor CD22,19,35810164,35838258,0.734558177188254,0.995820195021615,0.44954186668672,0.447871457320762,10454,312284,0.618190907274104,0.634912599412009,0.416525448193631,0.0228281268461104,0.0557555219558018,0.441635824277885,54.8685289628627,2.58552902087852,24,10454,312284,426,P20273,B-cell receptor CD22,19,35810164,35838258
CD226,CD226 antigen,18,67498394,67629039,0.175432319630835,0.168117150317208,0.479661086355123,0.331824679365568,10454,318326,0.598001888445966,0.682736500483058,0.486048190586004,0.535120035207666,0.131987905442656,0.0555524633256837,95.6389875457069,2.651176113213165,15,10454,318326,427,Q15762,CD226 antigen,18,67498394,67629039
CD244,Natural killer cell receptor 2B4,1,160799950,160832692,0.264924933371258,0.29504151880245,0.0965239025063444,0.251235682483253,10454,312284,0.287547611453547,0.431032469695509,0.457459581857675,0.0331008145469596,0.0510168599288721,0.234949186057559,288.480897830246,5.938808858619336,9,10454,312284,428,Q9BZW8,Natural killer cell receptor 2B4,1,160799950,160832692
CD248,Endosialin,11,66081958,66084515,0.536298353391977,0.260919898382196,0.138609685928736,0.096744828603211,10454,317421,0.151259228042314,0.207554813943466,0.297523717385622,0.26565779649602,0.415537231311647,0.471980370845738,13.4959788109752,3.2226718238887506,6,10454,317421,429,Q9HCU0,Endosialin,11,66081958,66084515
CD27,CD27 antigen,12,6554033,6560884,0.0671665283192582,0.0411300154787921,0.0630431495532499,0.564963006652816,10454,312549,0.0364033405335599,0.001035972312422,0.0022098936619422,0.0240807021824935,0.0402086250597148,0.247291089918001,133.340892221349,5.697285855894855,12,10454,312549,430,P26842,CD27 antigen,12,6554033,6560884
CD274,Programmed cell death 1 ligand 1,9,5450503,5470566,0.734966944515248,0.976707535052707,0.763757649164357,0.647843720664981,10454,312918,0.934093178580107,0.974644799524124,0.832881880267432,0.049306699537254,0.130446363652268,0.647779238764952,170.218264710998,6.364724591338216,18,10454,312918,431,Q9NZQ7,Programmed cell death 1 ligand 1,9,5450503,5470566
CD276,CD276 antigen,15,73976307,74006859,0.815380271612571,0.547911573560284,0.553635633882737,0.426184609651353,10454,312664,0.560873807974653,0.443542188520123,0.256474876169712,0.695627330601448,0.926038777575895,0.980170651931918,3478.36284627255,470.1973307105301,7,10454,312664,432,Q5ZPR3,CD276 antigen,15,73976307,74006859
CD28,T-cell-specific surface glycoprotein CD28,2,204571198,204603635,0.693068183067885,0.0291815949611853,0.0359854775519566,0.539720132330361,10454,313474,0.468449981082794,0.430278277577137,0.281261145946642,0.515515111986078,0.658195779689978,0.520123116368527,58.413778703034,4.516598089655774,14,10454,313474,433,P10747,T-cell-specific surface glycoprotein CD28,2,204571198,204603635
CD2AP,CD2-associated protein,6,47445525,47594999,0.0183894286565657,0.745452765956542,0.202142876691729,0.0317424826617206,10454,312630,0.0014057937723682,0.005852963661898,0.772055337015804,5.35488263909706e-06,2.92035794229144e-05,0.674396107882606,177.279706870174,5.333161417903915,11,10454,312630,434,Q9Y5K6,CD2-associated protein,6,47445525,47594999
CD300A,CMRF35-like molecule 8,17,72462555,72480933,0.155428291003777,0.160565338572397,0.112622707543746,0.426919129357347,10454,318083,0.328621888713155,0.471521352426961,0.458611918843741,0.341710645965313,0.586586997349438,0.686530694583476,30.0951244217507,10.42610692294428,15,10454,318083,435,Q9UGN4,CMRF35-like molecule 8,17,72462555,72480933
CD300C,CMRF35-like molecule 6,17,72537247,72542282,0.423650756683607,0.272411675637311,0.388091069698837,0.502094103082887,10454,312346,0.686895913015013,0.706904062410243,0.466087399258587,0.825905004472024,0.606151898910441,0.328990597763525,333.256494312456,61.336295167203446,13,10454,312346,436,Q08708,CMRF35-like molecule 6,17,72537247,72542282
CD300E,CMRF35-like molecule 2,17,72606026,72619897,0.915114596892212,0.0668194254687778,0.12254167770061,0.9435138916548,10454,312476,0.0251138136053017,0.0685824613584863,0.55773603877036,0.530749127236969,0.280397414085909,0.142557370835171,283.615586182656,4.823473918967776,18,10454,312476,437,Q496F6,CMRF35-like molecule 2,17,72606026,72619897
CD300LF,CMRF35-like molecule 1,17,72690452,72709117,0.380391429217826,0.336674566739647,0.862862547507357,0.160290558099182,10454,312360,0.889815728596477,0.375936208836157,0.163952504850743,0.806560385143066,0.824681486039289,0.56828741281763,1511.02171167846,453.3565396670634,19,10454,312360,438,Q8TDQ1,CMRF35-like molecule 1,17,72690452,72709117
CD300LG,CMRF35-like molecule 9,17,41924516,41940997,0.0525017796861222,0.978060693754101,0.615808215927098,0.803647241761762,10454,312640,0.646800342659438,0.758869258094123,0.558741883749985,0.684500005049991,0.851922677570977,0.693413561980762,77.9359075841346,25.296589972081733,10,10454,312640,439,Q6UXG3,CMRF35-like molecule 9,17,41924516,41940997
CD302,CD302 antigen,2,160625364,160654753,0.918621053455997,0.82111830721361,0.833740446155544,0.707821451135368,10454,312825,0.817750215638039,0.971639587124046,0.946869975727422,0.366867427788849,0.404171000697878,0.317895189905944,234.246873752483,10.815397463508202,8,10454,312825,440,Q8IX05,CD302 antigen,2,160625364,160654753
CD33,Myeloid cell surface antigen CD33,19,51728320,51747115,0.100882093498665,0.855177349669963,0.844419376739202,0.947897549467161,10454,312549,0.94129375844715,0.348834754229149,0.147223032120805,0.0025684862050536,0.0092680368598623,0.602510186966554,919.696119467811,144.92896314854423,13,10454,312549,441,P20138,Myeloid cell surface antigen CD33,19,51728320,51747115
CD34,Hematopoietic progenitor cell antigen CD34,1,208057594,208084747,0.18991683113983,0.966448207065182,0.0437088280857024,0.115358105210096,10454,312437,0.772271227233441,0.545179607035482,0.287887456461772,0.226156035139093,0.459023230686095,0.761102785180994,23.0936656726426,2.633102981380625,5,10454,312437,442,P28906,Hematopoietic progenitor cell antigen CD34,1,208057594,208084747
CD36,Platelet glycoprotein 4,7,79998891,80308593,0.0838598145928464,0.11411401938114,0.848393669988396,0.630082089273988,10454,318326,0.38011203966027,0.348434167686583,0.247343659825769,0.112479665519138,0.278724077358063,0.84943587295349,60.6509267259611,18.42458707679057,17,10454,318326,443,P16671,Platelet glycoprotein 4,7,79998891,80308593
CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,4,15779898,15854853,0.982690816045149,0.234543895130001,0.955761283521442,0.529012186558828,10454,312825,0.0414297415776784,0.101314204796454,0.516495272521735,0.80081641078323,0.798152544299223,0.533743193984207,136.495872092129,4.756636133801359,22,10454,312825,444,P28907,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,4,15779898,15854853
CD4,T-cell surface glycoprotein CD4,12,6896024,6929974,0.430206103883172,0.0347700024103008,0.0647253546804794,0.0244687274279938,10454,312775,0.0166022650073923,0.0423467614687553,0.443956704801344,0.925025250986534,0.67346504491224,0.376596918478143,209.664003694368,2.480036417407,9,10454,312775,448,P01730,T-cell surface glycoprotein CD4,12,6896024,6929974
CD40,Tumor necrosis factor receptor superfamily member 5,20,44746911,44758502,0.311019774099626,0.993349362973442,0.123635828173194,0.460688097662768,10454,312665,0.215887210288391,0.319218489070685,0.385750721417599,0.445242687020613,0.295205073076818,0.172921245202068,153.273943846104,6.663049268456544,19,10454,312665,449,P25942,Tumor necrosis factor receptor superfamily member 5,20,44746911,44758502
CD46,Membrane cofactor protein,1,207925402,207968858,0.800379717573584,0.414393565546967,0.487476785697176,0.763168892215168,10454,312845,0.330760040208549,0.608839498982186,0.829225459891821,0.753423859691919,0.722657334440303,0.457924420919175,14.5248876369243,3.3374929515779654,9,10454,312845,451,P15529,Membrane cofactor protein,1,207925402,207968858
CD48,CD48 antigen,1,160648536,160681641,0.84598974908191,0.608775274265546,0.987939720835622,0.0435720495360021,10454,312549,0.86173129471508,0.944442466133859,0.771970607371284,0.138572421517619,0.196375053633522,0.30282345660603,601.868946140074,101.29492215651307,18,10454,312549,452,P09326,CD48 antigen,1,160648536,160681641
CD5,T-cell surface glycoprotein CD5,11,60869867,60895324,0.0370575826678649,0.102923904827311,0.00852504489688516,0.0138305851931985,10454,312413,0.212726335812005,0.235785583187975,0.247581254673106,0.680305207943698,0.153876616901997,0.0587112599274039,28.9124798804497,2.8195922971283407,10,10454,312413,453,P06127,T-cell surface glycoprotein CD5,11,60869867,60895324
CD55,Complement decay-accelerating factor,1,207494853,207534311,0.146458810208074,0.00857113899841366,0.0528534541054075,0.02172281307916,10454,313858,0.0023746611763301,0.007996992411413,0.515413554855742,0.0035098224207096,0.0068684210224501,0.230108521782209,509.581875445876,14.685481570270156,5,10454,313858,454,P08174,Complement decay-accelerating factor,1,207494853,207534311
CD59,CD59 glycoprotein,11,33719807,33757991,0.0732390669440359,0.0270968727129257,0.0243362898329275,0.951078590266775,10454,313918,0.114046770549882,100,,0.172296786237724,,,70.9727177259491,<rpy2.rinterface_lib.sexp.NULLType object at 0x7f538f83b640> [RTYPES.NILSXP],13,10454,313918,456,P13987,CD59 glycoprotein,11,33719807,33757991
CD5L,CD5 antigen-like,1,157800704,157868046,0.39718627659552,0.998709049178135,0.687852512293993,0.116096665367837,10454,317530,0.556015996285561,0.685649229347872,0.522922256799606,0.575149717940175,0.473766082745593,0.277368194854301,83.8344983471781,3.584007297782407,10,10454,317530,457,O43866,CD5 antigen-like,1,157800704,157868046
CD6,T-cell differentiation antigen CD6,11,60739115,60787849,0.339042251016764,0.225580128300765,0.957720839890038,0.742904650427533,10454,312340,0.311022505038799,0.466899935049299,0.480831323899928,0.416811578361107,0.323515048145182,0.20622516436075,1118.13587500437,90.45558658849775,12,10454,312340,458,P30203,T-cell differentiation antigen CD6,11,60739115,60787849
CD69,Early activation antigen CD69,12,9905082,9913497,0.752508068117311,0.977553152900344,0.377391586652975,0.177380696423394,10454,312804,0.185881763278821,0.23231944827557,0.279534501384233,0.211238376936588,0.330775853057876,0.420215886572098,22.2990180120965,3.117424439026691,4,10454,312804,460,Q07108,Early activation antigen CD69,12,9905082,9913497
CD7,T-cell antigen CD7,17,80272744,80275478,0.543661775703625,0.417763067283061,0.329325796631332,0.855368682608086,10454,318385,0.878440470785455,0.468399738500784,0.221689145078636,0.774493007034826,0.122996749776144,0.0426529415299998,326.734702591787,103.08690886014324,9,10454,318385,461,P09564,T-cell antigen CD7,17,80272744,80275478
CD70,CD70 antigen,19,6583194,6604114,0.526178630410716,0.232742300218896,0.189738353732174,0.227328097103744,10454,312713,0.659390292526636,0.305585229720975,0.140115230969539,0.744469334754554,0.847518599817681,0.635521304947091,614.063034800227,31.043338550385773,47,10454,312713,462,P32970,CD70 antigen,19,6583194,6604114
